2017-01-24 15:22:11.747 INFO  DefaultFactory Logging to 'D:\Projects\NSB6SelfHostedClientMVC\NSB6SelfHostedClientMVC\App_Data\' with level Info
2017-01-24 15:22:11.919 WARN  NServiceBus.AuditConfigReader Endpoint auditing is configured using the registry on this machine, see Particular Documentation for details on how to address this with your version of NServiceBus.
2017-01-24 15:22:11.964 INFO  NServiceBus.LicenseManager License expires on 6/28/2017 12:00:00 AM
2017-01-24 15:22:12.059 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'PHARMS-SERVICES\mgmccarthy' to group 'Performance Monitor Users' because the user is already in group.
2017-01-24 15:22:12.114 INFO  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-01-24 15:22:12.119 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 15:22:12.121 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 15:22:12.122 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 15:42:08.693 INFO  DefaultFactory Logging to 'D:\Projects\NSB6SelfHostedClientMVC\NSB6SelfHostedClientMVC\App_Data\' with level Info
2017-01-24 15:55:38.387 INFO  DefaultFactory Logging to 'D:\Projects\NSB6SelfHostedClientMVC\NSB6SelfHostedClientMVC\App_Data\' with level Info
2017-01-24 15:56:32.015 INFO  DefaultFactory Logging to 'D:\Projects\NSB6SelfHostedClientMVC\NSB6SelfHostedClientMVC\App_Data\' with level Info
2017-01-24 15:56:32.165 WARN  NServiceBus.AuditConfigReader Endpoint auditing is configured using the registry on this machine, see Particular Documentation for details on how to address this with your version of NServiceBus.
2017-01-24 15:56:32.210 INFO  NServiceBus.LicenseManager License expires on 6/28/2017 12:00:00 AM
2017-01-24 15:56:32.330 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'PHARMS-SERVICES\mgmccarthy' to group 'Performance Monitor Users' because the user is already in group.
2017-01-24 15:56:32.394 INFO  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-01-24 15:56:32.400 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 15:56:32.402 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 15:56:32.404 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 15:58:19.537 INFO  DefaultFactory Logging to 'D:\Projects\NSB6SelfHostedClientMVC\NSB6SelfHostedClientMVC\App_Data\' with level Info
2017-01-24 15:58:19.727 WARN  NServiceBus.AuditConfigReader Endpoint auditing is configured using the registry on this machine, see Particular Documentation for details on how to address this with your version of NServiceBus.
2017-01-24 15:58:19.771 INFO  NServiceBus.LicenseManager License expires on 6/28/2017 12:00:00 AM
2017-01-24 15:58:19.887 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'PHARMS-SERVICES\mgmccarthy' to group 'Performance Monitor Users' because the user is already in group.
2017-01-24 15:58:19.945 INFO  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-01-24 15:58:19.952 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 15:58:19.954 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 15:58:19.955 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:00:11.486 INFO  DefaultFactory Logging to 'D:\Projects\NSB6SelfHostedClientMVC\NSB6SelfHostedClientMVC\App_Data\' with level Info
2017-01-24 16:00:11.605 WARN  NServiceBus.AuditConfigReader Endpoint auditing is configured using the registry on this machine, see Particular Documentation for details on how to address this with your version of NServiceBus.
2017-01-24 16:00:11.653 INFO  NServiceBus.LicenseManager License expires on 6/28/2017 12:00:00 AM
2017-01-24 16:00:11.772 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'PHARMS-SERVICES\mgmccarthy' to group 'Performance Monitor Users' because the user is already in group.
2017-01-24 16:00:11.839 INFO  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-01-24 16:00:11.845 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:00:11.847 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:00:11.848 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:01:51.869 INFO  DefaultFactory Logging to 'D:\Projects\NSB6SelfHostedClientMVC\NSB6SelfHostedClientMVC\App_Data\' with level Info
2017-01-24 16:01:51.989 WARN  NServiceBus.AuditConfigReader Endpoint auditing is configured using the registry on this machine, see Particular Documentation for details on how to address this with your version of NServiceBus.
2017-01-24 16:01:52.027 INFO  NServiceBus.LicenseManager License expires on 6/28/2017 12:00:00 AM
2017-01-24 16:01:52.138 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'PHARMS-SERVICES\mgmccarthy' to group 'Performance Monitor Users' because the user is already in group.
2017-01-24 16:01:52.204 INFO  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-01-24 16:01:52.209 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:01:52.211 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:01:52.212 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:03:03.817 INFO  DefaultFactory Logging to 'D:\Projects\NSB6SelfHostedClientMVC\NSB6SelfHostedClientMVC\App_Data\' with level Info
2017-01-24 16:03:03.928 WARN  NServiceBus.AuditConfigReader Endpoint auditing is configured using the registry on this machine, see Particular Documentation for details on how to address this with your version of NServiceBus.
2017-01-24 16:03:03.964 INFO  NServiceBus.LicenseManager License expires on 6/28/2017 12:00:00 AM
2017-01-24 16:03:04.066 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'PHARMS-SERVICES\mgmccarthy' to group 'Performance Monitor Users' because the user is already in group.
2017-01-24 16:03:04.118 INFO  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-01-24 16:03:04.124 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:03:04.126 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:03:04.127 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:04:09.708 INFO  DefaultFactory Logging to 'D:\Projects\NSB6SelfHostedClientMVC\NSB6SelfHostedClientMVC\App_Data\' with level Info
2017-01-24 16:04:09.865 WARN  NServiceBus.AuditConfigReader Endpoint auditing is configured using the registry on this machine, see Particular Documentation for details on how to address this with your version of NServiceBus.
2017-01-24 16:04:09.903 INFO  NServiceBus.LicenseManager License expires on 6/28/2017 12:00:00 AM
2017-01-24 16:04:09.994 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'PHARMS-SERVICES\mgmccarthy' to group 'Performance Monitor Users' because the user is already in group.
2017-01-24 16:04:10.046 INFO  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-01-24 16:04:10.052 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:04:10.053 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:04:10.055 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:07:39.123 INFO  DefaultFactory Logging to 'D:\Projects\NSB6SelfHostedClientMVC\NSB6SelfHostedClientMVC\App_Data\' with level Info
2017-01-24 16:07:39.246 WARN  NServiceBus.AuditConfigReader Endpoint auditing is configured using the registry on this machine, see Particular Documentation for details on how to address this with your version of NServiceBus.
2017-01-24 16:07:39.279 INFO  NServiceBus.LicenseManager License expires on 6/28/2017 12:00:00 AM
2017-01-24 16:07:39.386 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'PHARMS-SERVICES\mgmccarthy' to group 'Performance Monitor Users' because the user is already in group.
2017-01-24 16:07:39.439 INFO  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-01-24 16:07:39.444 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:07:39.446 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:07:39.447 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:19:02.132 INFO  DefaultFactory Logging to 'D:\Projects\NSB6SelfHostedClientMVC\NSB6SelfHostedClientMVC\App_Data\' with level Info
2017-01-24 16:19:02.241 WARN  NServiceBus.AuditConfigReader Endpoint auditing is configured using the registry on this machine, see Particular Documentation for details on how to address this with your version of NServiceBus.
2017-01-24 16:19:02.276 INFO  NServiceBus.LicenseManager License expires on 6/28/2017 12:00:00 AM
2017-01-24 16:19:02.364 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'PHARMS-SERVICES\mgmccarthy' to group 'Performance Monitor Users' because the user is already in group.
2017-01-24 16:19:02.416 INFO  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-01-24 16:19:02.422 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:19:02.424 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:19:02.425 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:19:58.489 INFO  DefaultFactory Logging to 'D:\Projects\NSB6SelfHostedClientMVC\NSB6SelfHostedClientMVC\App_Data\' with level Info
2017-01-24 16:19:58.637 WARN  NServiceBus.AuditConfigReader Endpoint auditing is configured using the registry on this machine, see Particular Documentation for details on how to address this with your version of NServiceBus.
2017-01-24 16:19:58.672 INFO  NServiceBus.LicenseManager License expires on 6/28/2017 12:00:00 AM
2017-01-24 16:19:58.767 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'PHARMS-SERVICES\mgmccarthy' to group 'Performance Monitor Users' because the user is already in group.
2017-01-24 16:19:58.818 INFO  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-01-24 16:19:58.825 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:19:58.827 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-01-24 16:19:58.828 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
